Question,Answer
According to the,According to the Commission Chairman Willie L
"Phillips, it is","Phillips, it is a burden on the electricity grid as well as a significant cost shifting concern to households and other business sectors."
"In 2025, a","In 2025, a report prepared by the International Energy Agency estimated the greenhouse gas emissions from the energy consumption of AI at 180 million tons"
"By 2035, these","By 2035, these emissions could rise to 300–500 million tonnes depending on what measures will be taken"
This is below,This is below 1.5% of the energy sector emissions
The emissions reduction,"The emissions reduction potential of AI was estimated at 5% of the energy sector emissions, but rebound effects (for example if people switch from public transport to autonomous cars) can reduce it."
"YouTube, Facebook and","YouTube, Facebook and others use recommender systems to guide users to more content"
These AI programs,"These AI programs were given the goal of maximizing user engagement (that is, the only goal was to keep people watching)"
The AI learned,"The AI learned that users tended to choose misinformation, conspiracy theories, and extreme partisan content, and, to keep them watching, the AI recommended more of it"
Users also tended,"Users also tended to watch more content on the same subject, so the AI led people into filter bubbles where they received multiple versions of the same misinformation"
This convinced many,"This convinced many users that the misinformation was true, and ultimately undermined trust in institutions, the media and the government"
The AI program,"The AI program had correctly learned to maximize its goal, but the result was harmful to society"
"election in 2016,","election in 2016, major technology companies took some steps to mitigate the problem."
In the early,"In the early 2020s, generative AI began to create images, audio, and texts that are virtually indistinguishable from real photographs, recordings, or human writing, while realistic AI-generated videos became feasible in the mid-2020s"
It is possible,It is possible for bad actors to use this technology to create massive amounts of misinformation or propaganda; one such potential malicious use is deepfakes for computational propaganda
AI pioneer and,"AI pioneer and Nobel Prize-winning computer scientist Geoffrey Hinton expressed concern about AI enabling ""authoritarian leaders to manipulate their electorates"" on a large scale, among other risks"
The ability to,The ability to influence electorates has been proved in at least one study
This same study,This same study shows more inaccurate statements from the models when they advocate for candidates of the political right.
AI researchers at,"AI researchers at Microsoft, OpenAI, universities and other organisations have suggested using ""personhood credentials"" as a way to overcome online deception enabled by AI models."
Machine learning applications,Machine learning applications can be biased if they learn from biased data
The developers may,The developers may not be aware that the bias exists
Discriminatory behavior by,Discriminatory behavior by some LLMs can be observed in their output
Bias can be,Bias can be introduced by the way training data is selected and by the way a model is deployed
If a biased,"If a biased algorithm is used to make decisions that can seriously harm people (as it can in medicine, finance, recruitment, housing or policing) then the algorithm may cause discrimination"
The field of,The field of fairness studies how to prevent harms from algorithmic biases.
On 28 June,"On 28 June 2015, Google Photos's new image labeling feature mistakenly identified Jacky Alcine and a friend as ""gorillas"" because they were black"
The system was,"The system was trained on a dataset that contained very few images of black people, a problem called ""sample size disparity"""
"Google ""fixed"" this","Google ""fixed"" this problem by preventing the system from labelling anything as a ""gorilla"""
"Eight years later,","Eight years later, in 2023, Google Photos still could not identify a gorilla, and neither could similar products from Apple, Facebook, Microsoft and Amazon."
COMPAS is a,COMPAS is a commercial program widely used by U.S
courts to assess,courts to assess the likelihood of a defendant becoming a recidivist
"In 2016, Julia","In 2016, Julia Angwin at ProPublica discovered that COMPAS exhibited racial bias, despite the fact that the program was not told the races of the defendants"
Although the error,"Although the error rate for both whites and blacks was calibrated equal at exactly 61%, the errors for each race were different—the system consistently overestimated the chance that a black person would re-offend and would underestimate the chance that a white person would not re-offend"
"In 2017, several","In 2017, several researchers showed that it was mathematically impossible for COMPAS to accommodate all possible measures of fairness when the base rates of re-offense were different for whites and blacks in the data."
A program can,"A program can make biased decisions even if the data does not explicitly mention a problematic feature (such as ""race"" or ""gender"")"
The feature will,"The feature will correlate with other features (like ""address"", ""shopping history"" or ""first name""), and the program will make the same decisions based on these features as it would on ""race"" or ""gender"""
Moritz Hardt said,"Moritz Hardt said ""the most robust fact in this research area is that fairness through blindness doesn't work."""
Criticism of COMPAS,"Criticism of COMPAS highlighted that machine learning models are designed to make ""predictions"" that are only valid if we assume that the future will resemble the past"
If they are,"If they are trained on data that includes the results of racist decisions in the past, machine learning models must predict that racist decisions will be made in the future"
If an application,"If an application then uses these predictions as recommendations, some of these ""recommendations"" will likely be racist"
"Thus, machine learning","Thus, machine learning is not well suited to help make decisions in areas where there is hope that the future will be better than the past"
It is descriptive,It is descriptive rather than prescriptive.
Bias and unfairness,"Bias and unfairness may go undetected because the developers are overwhelmingly white and male: among AI engineers, about 4% are black and 20% are women."
There are various,There are various conflicting definitions and mathematical models of fairness
These notions depend,"These notions depend on ethical assumptions, and are influenced by beliefs about society"
One broad category,"One broad category is distributive fairness, which focuses on the outcomes, often identifying groups and seeking to compensate for statistical disparities"
Representational fairness tries,Representational fairness tries to ensure that AI systems do not reinforce negative stereotypes or render certain groups invisible
Procedural fairness focuses,Procedural fairness focuses on the decision process rather than the outcome
The most relevant,"The most relevant notions of fairness may depend on the context, notably the type of AI application and the stakeholders"
The subjectivity in,The subjectivity in the notions of bias and fairness makes it difficult for companies to operationalize them
Having access to,"Having access to sensitive attributes such as race or gender is also considered by many AI ethicists to be necessary in order to compensate for biases, but it may conflict with anti-discrimination laws."
At the 2022,"At the 2022 ACM Conference on Fairness, Accountability, and Transparency a paper reported that a CLIP‑based (Contrastive Language-Image Pre-training) robotic system reproduced harmful gender‑ and race‑linked stereotypes in a simulated manipulation task"
The authors recommended,"The authors recommended robot‑learning methods which physically manifest such harms be ""paused, reworked, or even wound down when appropriate, until outcomes can be proven safe, effective, and just."""
Many AI systems,Many AI systems are so complex that their designers cannot explain how they reach their decisions
Particularly with deep,"Particularly with deep neural networks, in which there are many non-linear relationships between inputs and outputs"
But some popular,But some popular explainability techniques exist.
It is impossible,It is impossible to be certain that a program is operating correctly if no one knows how exactly it works
There have been,"There have been many cases where a machine learning program passed rigorous tests, but nevertheless learned something different than what the programmers intended"
"For example, a","For example, a system that could identify skin diseases better than medical professionals was found to actually have a strong tendency to classify images with a ruler as ""cancerous"", because pictures of malignancies typically include a ruler to show the scale"
Another machine learning,"Another machine learning system designed to help effectively allocate medical resources was found to classify patients with asthma as being at ""low risk"" of dying from pneumonia"
Having asthma is,"Having asthma is actually a severe risk factor, but since the patients having asthma would usually get much more medical care, they were relatively unlikely to die according to the training data"
The correlation between,"The correlation between asthma and low risk of dying from pneumonia was real, but misleading."
People who have,People who have been harmed by an algorithm's decision have a right to an explanation
"Doctors, for example,","Doctors, for example, are expected to clearly and completely explain to their colleagues the reasoning behind any decision they make"
Early drafts of,Early drafts of the European Union's General Data Protection Regulation in 2016 included an explicit statement that this right exists
Industry experts noted,Industry experts noted that this is an unsolved problem with no solution in sight
Regulators argued that,"Regulators argued that nevertheless the harm is real: if the problem has no solution, the tools should not be used."
DARPA established the,"DARPA established the XAI (""Explainable Artificial Intelligence"") program in 2014 to try to solve these problems."
Several approaches aim,Several approaches aim to address the transparency problem
SHAP enables to,SHAP enables to visualise the contribution of each feature to the output
LIME can locally,"LIME can locally approximate a model's outputs with a simpler, interpretable model"
Multitask learning provides,Multitask learning provides a large number of outputs in addition to the target classification
These other outputs,These other outputs can help developers deduce what the network has learned
"Deconvolution, DeepDream and","Deconvolution, DeepDream and other generative methods can allow developers to see what different layers of a deep network for computer vision have learned, and produce output that can suggest what the network is learning"
For generative pre-trained,"For generative pre-trained transformers, Anthropic developed a technique based on dictionary learning that associates patterns of neuron activations with human-understandable concepts."
Artificial intelligence provides,"Artificial intelligence provides a number of tools that are useful to bad actors, such as authoritarian governments, terrorists, criminals or rogue states."
A lethal autonomous,"A lethal autonomous weapon is a machine that locates, selects and engages human targets without human supervision"
Widely available AI,"Widely available AI tools can be used by bad actors to develop inexpensive autonomous weapons and, if produced at scale, they are potentially weapons of mass destruction"
Even when used,"Even when used in conventional warfare, they currently cannot reliably choose targets and could potentially kill an innocent person"
"In 2014, 30","In 2014, 30 nations (including China) supported a ban on autonomous weapons under the United Nations' Convention on Certain Conventional Weapons, however the United States and others disagreed"
"By 2015, over","By 2015, over fifty countries were reported to be researching battlefield robots."
AI tools make,AI tools make it easier for authoritarian governments to efficiently control their citizens in several ways
Face and voice,Face and voice recognition allow widespread surveillance
"Machine learning, operating","Machine learning, operating this data, can classify potential enemies of the state and prevent them from hiding"
Recommendation systems can,Recommendation systems can precisely target propaganda and misinformation for maximum effect
Deepfakes and generative,Deepfakes and generative AI aid in producing misinformation
Advanced AI can,Advanced AI can make authoritarian centralized decision-making more competitive than liberal and decentralized systems such as markets
It lowers the,It lowers the cost and difficulty of digital warfare and advanced spyware
All these technologies,All these technologies have been available since 2020 or earlier—AI facial recognition systems are already being used for mass surveillance in China.
There are many,"There are many other ways in which AI is expected to help bad actors, some of which can not be foreseen"
"For example, machine-learning","For example, machine-learning AI is able to design tens of thousands of toxic molecules in a matter of hours."
Economists have frequently,"Economists have frequently highlighted the risks of redundancies from AI, and speculated about unemployment if there is no adequate social policy for full employment."
"In the past,","In the past, technology has tended to increase rather than reduce total employment, but economists acknowledge that ""we're in uncharted territory"" with AI"
A survey of,"A survey of economists showed disagreement about whether the increasing use of robots and AI will cause a substantial increase in long-term unemployment, but they generally agree that it could be a net benefit if productivity gains are redistributed"
Risk estimates vary;,"Risk estimates vary; for example, in the 2010s, Michael Osborne and Carl Benedikt Frey estimated 47% of U.S"
jobs are at,"jobs are at ""high risk"" of potential automation, while an OECD report classified only 9% of U.S"
The methodology of,"The methodology of speculating about future employment levels has been criticised as lacking evidential foundation, and for implying that technology, rather than social policy, creates unemployment, as opposed to redundancies"
"In April 2023,","In April 2023, it was reported that 70% of the jobs for Chinese video game illustrators had been eliminated by generative artificial intelligence."
Unlike previous waves,"Unlike previous waves of automation, many middle-class jobs may be eliminated by artificial intelligence; The Economist stated in 2015 that ""the worry that AI could do to white-collar jobs what steam power did to blue-collar ones during the Industrial Revolution"" is ""worth taking seriously"""
Jobs at extreme,"Jobs at extreme risk range from paralegals to fast food cooks, while job demand is likely to increase for care-related professions ranging from personal healthcare to the clergy"
"In July 2025,","In July 2025, Ford CEO Jim Farley predicted that ""artificial intelligence is going to replace literally half of all white-collar workers in the U.S."""
From the early,"From the early days of the development of artificial intelligence, there have been arguments, for example, those put forward by Joseph Weizenbaum, about whether tasks that can be done by computers actually should be done by them, given the difference between computers and humans, and between quantitative calculation and qualitative, value-based judgement."
Recent public debates,Recent public debates in artificial intelligence have increasingly focused on its broader societal and ethical implications
It has been,It has been argued AI will become so powerful that humanity may irreversibly lose control of it
"This could, as","This could, as physicist Stephen Hawking stated, ""spell the end of the human race"""
This scenario has,"This scenario has been common in science fiction, when a computer or robot suddenly develops a human-like ""self-awareness"" (or ""sentience"" or ""consciousness"") and becomes a malevolent character"
These sci-fi scenarios,These sci-fi scenarios are misleading in several ways.
"First, AI does","First, AI does not require human-like sentience to be an existential risk"
Modern AI programs,Modern AI programs are given specific goals and use learning and intelligence to achieve them
Philosopher Nick Bostrom,"Philosopher Nick Bostrom argued that if one gives almost any goal to a sufficiently powerful AI, it may choose to destroy humanity to achieve it (he used the example of an automated paperclip factory that destroys the world to get more iron for paperclips)"
Stuart Russell gives,"Stuart Russell gives the example of household robot that tries to find a way to kill its owner to prevent it from being unplugged, reasoning that ""you can't fetch the coffee if you're dead."" In order to be safe for humanity, a superintelligence would have to be genuinely aligned with humanity's morality and values so that it is ""fundamentally on our side""."
"Second, Yuval Noah","Second, Yuval Noah Harari argues that AI does not require a robot body or physical control to pose an existential risk"
The essential parts,The essential parts of civilization are not physical
"Things like ideologies,","Things like ideologies, law, government, money and the economy are built on language; they exist because there are stories that billions of people believe"
The current prevalence,"The current prevalence of misinformation suggests that an AI could use language to convince people to believe anything, even to take actions that are destructive"
Geoffrey Hinton said,"Geoffrey Hinton said in 2025 that modern AI is particularly ""good at persuasion"" and getting better all the time"
"He asks ""Suppose","He asks ""Suppose you wanted to invade the capital of the US"
Do you have,Do you have to go there and do it yourself? No
The opinions amongst,"The opinions amongst experts and industry insiders are mixed, with sizable fractions both concerned and unconcerned by risk from eventual superintelligent AI"
Personalities such as,"Personalities such as Stephen Hawking, Bill Gates, and Elon Musk, as well as AI pioneers such as Geoffrey Hinton, Yoshua Bengio, Stuart Russell, Demis Hassabis, and Sam Altman, have expressed concerns about existential risk from AI."
"In May 2023,","In May 2023, Geoffrey Hinton announced his resignation from Google in order to be able to ""freely speak out about the risks of AI"" without ""considering how this impacts Google"""
He notably mentioned,"He notably mentioned risks of an AI takeover, and stressed that in order to avoid the worst outcomes, establishing safety guidelines will require cooperation among those competing in use of AI."
"In 2023, many","In 2023, many leading AI experts endorsed the joint statement that ""Mitigating the risk of extinction from AI should be a global priority alongside other societal-scale risks such as pandemics and nuclear war""."
Some other researchers,Some other researchers were more optimistic
AI pioneer Jürgen,"AI pioneer Jürgen Schmidhuber did not sign the joint statement, emphasising that in 95% of all cases, AI research is about making ""human lives longer and healthier and easier."" While the tools that are now being used to improve lives can also be used by bad actors, ""they can also be used against the bad actors."" Andrew Ng also argued that ""it's a mistake to fall for the doomsday hype on AI—and that regulators who do will only benefit vested interests."" Yann LeCun "", a Turing Award winner, disagreed with the idea that AI will subordinate humans ""simply because they are smarter, let alone destroy [us]"", ""scoff[ing] at his peers' dystopian scenarios of supercharged misinformation and even, eventually, human extinction."" In the early 2010s, experts argued that the risks are too distant in the future to warrant research or that humans will be valuable from the perspective of a superintelligent machine"
"However, after 2016,","However, after 2016, the study of current and future risks and possible solutions became a serious area of research."
Friendly AI are,Friendly AI are machines that have been designed from the beginning to minimize risks and to make choices that benefit humans
"Eliezer Yudkowsky, who","Eliezer Yudkowsky, who coined the term, argues that developing friendly AI should be a higher research priority: it may require a large investment and it must be completed before AI becomes an existential risk."
Machines with intelligence,Machines with intelligence have the potential to use their intelligence to make ethical decisions
The field of,The field of machine ethics provides machines with ethical principles and procedures for resolving ethical dilemmas.
The field of,"The field of machine ethics is also called computational morality,"
and was founded,and was founded at an AAAI symposium in 2005.
Other approaches include,"Other approaches include Wendell Wallach's ""artificial moral agents"" and Stuart J"
Russell's three principles,Russell's three principles for developing provably beneficial machines.
Active organizations in,"Active organizations in the AI open-source community include Hugging Face, Google, EleutherAI and Meta"
"Various AI models,","Various AI models, such as Llama 2, Mistral or Stable Diffusion, have been made open-weight, meaning that their architecture and trained parameters (the ""weights"") are publicly available"
Open-weight models can,"Open-weight models can be freely fine-tuned, which allows companies to specialize them with their own data and for their own use-case"
Open-weight models are,Open-weight models are useful for research and innovation but can also be misused
Since they can,"Since they can be fine-tuned, any built-in security measure, such as objecting to harmful requests, can be trained away until it becomes ineffective"
Some researchers warn,"Some researchers warn that future AI models may develop dangerous capabilities (such as the potential to drastically facilitate bioterrorism) and that once released on the Internet, they cannot be deleted everywhere if needed"
They recommend pre-release,They recommend pre-release audits and cost-benefit analyses.
Artificial intelligence projects,"Artificial intelligence projects can be guided by ethical considerations during the design, development, and implementation of an AI system"
An AI framework,"An AI framework such as the Care and Act Framework, developed by the Alan Turing Institute and based on the SUM values, outlines four main ethical dimensions, defined as follows:"
Connect with other,"Connect with other people sincerely, openly, and inclusively"
"Protect social values,","Protect social values, justice, and the public interest"
Other developments in,"Other developments in ethical frameworks include those decided upon during the Asilomar Conference, the Montreal Declaration for Responsible AI, and the IEEE's Ethics of Autonomous Systems initiative, among others; however, these principles are not without criticism, especially regarding the people chosen to contribute to these frameworks."
Promotion of the,"Promotion of the wellbeing of the people and communities that these technologies affect requires consideration of the social and ethical implications at all stages of AI system design, development and implementation, and collaboration between job roles such as data scientists, product managers, data engineers, domain experts, and delivery managers."
The UK AI,The UK AI Safety Institute released in 2024 a testing toolset called 'Inspect' for AI safety evaluations available under an MIT open-source licence which is freely available on GitHub and can be improved with third-party packages
It can be,"It can be used to evaluate AI models in a range of areas including core knowledge, ability to reason, and autonomous capabilities."
The regulation of,The regulation of artificial intelligence is the development of public sector policies and laws for promoting and regulating AI; it is therefore related to the broader regulation of algorithms
The regulatory and,The regulatory and policy landscape for AI is an emerging issue in jurisdictions globally
According to AI,"According to AI Index at Stanford, the annual number of AI-related laws passed in the 127 survey countries jumped from one passed in 2016 to 37 passed in 2022 alone"
Between 2016 and,"Between 2016 and 2020, more than 30 countries adopted dedicated strategies for AI"
Most EU member,"Most EU member states had released national AI strategies, as had Canada, China, India, Japan, Mauritius, the Russian Federation, Saudi Arabia, United Arab Emirates, U.S., and Vietnam"
Others were in,"Others were in the process of elaborating their own AI strategy, including Bangladesh, Malaysia and Tunisia"
The Global Partnership,"The Global Partnership on Artificial Intelligence was launched in June 2020, stating a need for AI to be developed in accordance with human rights and democratic values, to ensure public confidence and trust in the technology"
"Henry Kissinger, Eric","Henry Kissinger, Eric Schmidt, and Daniel Huttenlocher published a joint statement in November 2021 calling for a government commission to regulate AI"
"In 2023, OpenAI","In 2023, OpenAI leaders published recommendations for the governance of superintelligence, which they believe may happen in less than 10 years"
"In 2023, the","In 2023, the United Nations also launched an advisory body to provide recommendations on AI governance; the body comprises technology company executives, government officials and academics"
On 1 August,"On 1 August 2024, the EU Artificial Intelligence Act entered into force, establishing the first comprehensive EU-wide AI regulation"
"In 2024, the","In 2024, the Council of Europe created the first international legally binding treaty on AI, called the ""Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law"""
It was adopted,"It was adopted by the European Union, the United States, the United Kingdom, and other signatories."
In a 2022,"In a 2022 Ipsos survey, attitudes towards AI varied greatly by country; 78% of Chinese citizens, but only 35% of Americans, agreed that ""products and services using AI have more benefits than drawbacks"""
A 2023 Reuters/Ipsos,"A 2023 Reuters/Ipsos poll found that 61% of Americans agree, and 22% disagree, that AI poses risks to humanity"
In a 2023,"In a 2023 Fox News poll, 35% of Americans thought it ""very important"", and an additional 41% thought it ""somewhat important"", for the federal government to regulate AI, versus 13% responding ""not very important"" and 8% responding ""not at all important""."
"In November 2023,","In November 2023, the first global AI Safety Summit was held in Bletchley Park in the UK to discuss the near and far term risks of AI and the possibility of mandatory and voluntary regulatory frameworks"
28 countries including,"28 countries including the United States, China, and the European Union issued a declaration at the start of the summit, calling for international co-operation to manage the challenges and risks of artificial intelligence"
In May 2024,"In May 2024 at the AI Seoul Summit, 16 global AI tech companies agreed to safety commitments on the development of AI."
The study of,"The study of mechanical or ""formal"" reasoning began with philosophers and mathematicians in antiquity"
The study of,"The study of logic led directly to Alan Turing's theory of computation, which suggested that a machine, by shuffling symbols as simple as ""0"" and ""1"", could simulate any conceivable form of mathematical reasoning"
"This, along with","This, along with concurrent discoveries in cybernetics, information theory and neurobiology, led researchers to consider the possibility of building an ""electronic brain"""
They developed several,"They developed several areas of research that would become part of AI, such as McCulloch and Pitts design for ""artificial neurons"" in 1943, and Turing's influential 1950 paper 'Computing Machinery and Intelligence', which introduced the Turing test and showed that ""machine intelligence"" was plausible."
The field of,The field of AI research was founded at a workshop at Dartmouth College in 1956
The attendees became,The attendees became the leaders of AI research in the 1960s
They and their,"They and their students produced programs that the press described as ""astonishing"": computers were learning checkers strategies, solving word problems in algebra, proving logical theorems and speaking English"
Artificial intelligence laboratories,Artificial intelligence laboratories were set up at a number of British and U.S
universities in the,universities in the latter 1950s and early 1960s.
Researchers in the,Researchers in the 1960s and the 1970s were convinced that their methods would eventually succeed in creating a machine with general intelligence and considered this the goal of their field
In 1965 Herbert,"In 1965 Herbert Simon predicted, ""machines will be capable, within twenty years, of doing any work a man can do"""
In 1967 Marvin,"In 1967 Marvin Minsky agreed, writing that ""within a generation .."
the problem of,"the problem of creating 'artificial intelligence' will substantially be solved"""
"They had, however,","They had, however, underestimated the difficulty of the problem"
and British governments,and British governments cut off exploratory research in response to the criticism of Sir James Lighthill and ongoing pressure from the U.S
Congress to fund,Congress to fund more productive projects
Minsky and Papert's,"Minsky and Papert's book Perceptrons was understood as proving that artificial neural networks would never be useful for solving real-world tasks, thus discrediting the approach altogether"
"The ""AI winter"",","The ""AI winter"", a period when obtaining funding for AI projects was difficult, followed."
In the early,"In the early 1980s, AI research was revived by the commercial success of expert systems, a form of AI program that simulated the knowledge and analytical skills of human experts"
"By 1985, the","By 1985, the market for AI had reached over a billion dollars"
At the same,"At the same time, Japan's fifth generation computer project inspired the U.S"
and British governments,and British governments to restore funding for academic research
"However, beginning with","However, beginning with the collapse of the Lisp Machine market in 1987, AI once again fell into disrepute, and a second, longer-lasting winter began."
Up to this,"Up to this point, most of AI's funding had gone to projects that used high-level symbols to represent mental objects like plans, goals, beliefs, and known facts"
"In the 1980s,","In the 1980s, some researchers began to doubt that this approach would be able to imitate all the processes of human cognition, especially perception, robotics, learning and pattern recognition, and began to look into ""sub-symbolic"" approaches"
Rodney Brooks rejected,"Rodney Brooks rejected ""representation"" in general and focussed directly on engineering machines that move and survive"
"Judea Pearl, Lotfi","Judea Pearl, Lotfi Zadeh, and others developed methods that handled incomplete and uncertain information by making reasonable guesses rather than precise logic"
But the most,"But the most important development was the revival of ""connectionism"", including neural network research, by Geoffrey Hinton and others"
"In 1990, Yann","In 1990, Yann LeCun successfully showed that convolutional neural networks can recognize handwritten digits, the first of many successful applications of neural networks."
AI gradually restored,AI gradually restored its reputation in the late 1990s and early 21st century by exploiting formal mathematical methods and by finding specific solutions to specific problems
"This ""narrow"" and","This ""narrow"" and ""formal"" focus allowed researchers to produce verifiable results and collaborate with other fields (such as statistics, economics and mathematics)"
"By 2000, solutions","By 2000, solutions developed by AI researchers were being widely used, although in the 1990s they were rarely described as ""artificial intelligence"" (a tendency known as the AI effect)."
"However, several academic","However, several academic researchers became concerned that AI was no longer pursuing its original goal of creating versatile, fully intelligent machines"
"Beginning around 2002,","Beginning around 2002, they founded the subfield of artificial general intelligence (or ""AGI""), which had several well-funded institutions by the 2010s."
Deep learning began,Deep learning began to dominate industry benchmarks in 2012 and was adopted throughout the field.
For many specific,"For many specific tasks, other methods were abandoned."
Deep learning's success,"Deep learning's success was based on both hardware improvements (faster computers, graphics processing units, cloud computing) and access to large amounts of data (including curated datasets, such as ImageNet)"
Deep learning's success,Deep learning's success led to an enormous increase in interest and funding in AI
The amount of,The amount of machine learning research (measured by total publications) increased by 50% in the years 2015–2019.
"In 2016, issues","In 2016, issues of fairness and the misuse of technology were catapulted into center stage at machine learning conferences, publications vastly increased, funding became available, and many researchers re-focussed their careers on these issues"
The alignment problem,The alignment problem became a serious field of academic study.
In the late,"In the late 2010s and early 2020s, AGI companies began to deliver programs that created enormous interest"
"In 2015, AlphaGo,","In 2015, AlphaGo, developed by DeepMind, beat the world champion Go player"
The program taught,The program taught only the game's rules and developed a strategy by itself
GPT-3 is a,GPT-3 is a large language model that was released in 2020 by OpenAI and is capable of generating high-quality human-like text
"ChatGPT, launched on","ChatGPT, launched on 30 November 2022, became the fastest-growing consumer software application in history, gaining over 100 million users in two months"
It marked what,"It marked what is widely regarded as AI's breakout year, bringing it into the public consciousness"
"These programs, and","These programs, and others, inspired an aggressive AI boom, where large companies began investing billions of dollars in AI research"
According to AI,"According to AI Impacts, about US$50 billion annually was invested in ""AI"" around 2022 in the U.S"
Computer Science PhD,"Computer Science PhD graduates have specialized in ""AI"""
According to PitchBook,"According to PitchBook research, 22% of newly funded startups in 2024 claimed to be AI companies."
Philosophical debates have,Philosophical debates have historically sought to determine the nature of intelligence and how to make intelligent machines
Another major focus,"Another major focus has been whether machines can be conscious, and the associated ethical implications"
Many other topics,"Many other topics in philosophy are relevant to AI, such as epistemology and free will"
Rapid advancements have,Rapid advancements have intensified public discussions on the philosophy and ethics of AI.
Alan Turing wrote,"Alan Turing wrote in 1950 ""I propose to consider the question 'can machines think'?"" He advised changing the question from whether a machine ""thinks"", to ""whether or not it is possible for machinery to show intelligent behaviour"""
He devised the,"He devised the Turing test, which measures the ability of a machine to simulate human conversation"
Since we can,"Since we can only observe the behavior of the machine, it does not matter if it is ""actually"" thinking or literally has a ""mind"""
Turing notes that,"Turing notes that we can not determine these things about other people but ""it is usual to have a polite convention that everyone thinks."""
Russell and Norvig,"Russell and Norvig agree with Turing that intelligence must be defined in terms of external behavior, not internal structure"
"However, they are","However, they are critical that the test requires the machine to imitate humans"
"""Aeronautical engineering texts"",","""Aeronautical engineering texts"", they wrote, ""do not define the goal of their field as making 'machines that fly so exactly like pigeons that they can fool other pigeons.'"" AI founder John McCarthy agreed, writing that ""Artificial intelligence is not, by definition, simulation of human intelligence""."
McCarthy defines intelligence,"McCarthy defines intelligence as ""the computational part of the ability to achieve goals in the world"""
"Another AI founder,","Another AI founder, Marvin Minsky, similarly describes it as ""the ability to solve hard problems"""
The leading AI,The leading AI textbook defines it as the study of agents that perceive their environment and take actions that maximize their chances of achieving defined goals
These definitions view,"These definitions view intelligence in terms of well-defined problems with well-defined solutions, where both the difficulty of the problem and the performance of the program are direct measures of the ""intelligence"" of the machine – and no other philosophical discussion is required, or may not even be possible."
Another definition has,"Another definition has been adopted by Google, a major practitioner in the field of AI"
This definition stipulates,"This definition stipulates the ability of systems to synthesize information as the manifestation of intelligence, similar to the way it is defined in biological intelligence."
As a result,"As a result of the many circulating definitions scholars have started to critically analyze and order the AI discourse itself including discussing the many AI narratives and myths to be found within societal, political and academic discourses"
"Similarly, in practice,","Similarly, in practice, some authors have suggested that the term 'AI' is often used too broadly and vaguely"
This raises the,"This raises the question of where the line should be drawn between AI and classical algorithms, with many companies during the early 2020s AI boom using the term as a marketing buzzword, often even if they did ""not actually use AI in a material way""."
There has been,There has been debate over whether large language models exhibit genuine intelligence or merely simulate it by imitating human text.
No established unifying,No established unifying theory or paradigm has guided AI research for most of its history
The unprecedented success,"The unprecedented success of statistical machine learning in the 2010s eclipsed all other approaches (so much so that some sources, especially in the business world, use the term ""artificial intelligence"" to mean ""machine learning with neural networks"")"
This approach is,"This approach is mostly sub-symbolic, soft and narrow"
Critics argue that,Critics argue that these questions may have to be revisited by future generations of AI researchers.
Symbolic AI (or,"Symbolic AI (or ""GOFAI"") simulated the high-level conscious reasoning that people use when they solve puzzles, express legal reasoning and do mathematics"
They were highly,"They were highly successful at ""intelligent"" tasks such as algebra or IQ tests"
"In the 1960s,","In the 1960s, Newell and Simon proposed the physical symbol systems hypothesis: ""A physical symbol system has the necessary and sufficient means of general intelligent action."""
"However, the symbolic","However, the symbolic approach failed on many tasks that humans solve easily, such as learning, recognizing an object or commonsense reasoning"
Moravec's paradox is,"Moravec's paradox is the discovery that high-level ""intelligent"" tasks were easy for AI, but low level ""instinctive"" tasks were extremely difficult"
Philosopher Hubert Dreyfus,"Philosopher Hubert Dreyfus had argued since the 1960s that human expertise depends on unconscious instinct rather than conscious symbol manipulation, and on having a ""feel"" for the situation, rather than explicit symbolic knowledge"
Although his arguments,"Although his arguments had been ridiculed and ignored when they were first presented, eventually, AI research came to agree with him."
The issue is,"The issue is not resolved: sub-symbolic reasoning can make many of the same inscrutable mistakes that human intuition does, such as algorithmic bias"
Critics such as,"Critics such as Noam Chomsky argue continuing research into symbolic AI will still be necessary to attain general intelligence, in part because sub-symbolic AI is a move away from explainable AI: it can be difficult or impossible to understand why a modern statistical AI program made a particular decision"
The emerging field,The emerging field of neuro-symbolic artificial intelligence attempts to bridge the two approaches.
"""Neats"" hope that","""Neats"" hope that intelligent behavior is described using simple, elegant principles (such as logic, optimization, or neural networks)"
"""Scruffies"" expect that","""Scruffies"" expect that it necessarily requires solving a large number of unrelated problems"
Neats defend their,"Neats defend their programs with theoretical rigor, scruffies rely mainly on incremental testing to see if they work"
This issue was,"This issue was actively discussed in the 1970s and 1980s, but eventually was seen as irrelevant"
Finding a provably,Finding a provably correct or optimal solution is intractable for many important problems
Soft computing is,"Soft computing is a set of techniques, including genetic algorithms, fuzzy logic and neural networks, that are tolerant of imprecision, uncertainty, partial truth and approximation"
Soft computing was,Soft computing was introduced in the late 1980s and most successful AI programs in the 21st century are examples of soft computing with neural networks.
AI researchers are,AI researchers are divided as to whether to pursue the goals of artificial general intelligence and superintelligence directly or to solve as many specific problems as possible (narrow AI) in hopes these solutions will lead indirectly to the field's long-term goals
General intelligence is,"General intelligence is difficult to define and difficult to measure, and modern AI has had more verifiable successes by focusing on specific problems with specific solutions"
